Age,Residential,EmploymentStatus,MaritalStatus,HouseholdCategory,OftenTravel,TravellingFor,YearlyTravel,StayDuration,PeopleDuringTravel,LodgingBudget,LodgingLocation,LodgingType
63,Urban,Retired,Widowed,M40,Yes,Holiday,2,3,5,250,Countryside,Airbnb
39,Urban,Unemployed,Married,M40,No,Businesses,2,3,4,400,Beachfront,Hotels
23,Urban,Student,Single,M40,Yes,Holiday,2,5,7,350,City Centers,Hotels
38,Urban,Employed full-time,Married,M40,No,Both,1,5,2,1000,City Centers,Hotels
65,Urban,Retired,Married,M40,Yes,Businesses,2,7,2,300,Nature,Airbnb
40,Urban,Employed full-time,Married,T20,No,I don't travel,0,3,0,1000,City Centers,Hotels
24,Rural,Employed full-time,Single,M40,No,I don't travel,0,3,6,500,Nature,Hotels
65,Urban,Retired,Married,B40,No,Holiday,2,10,2,700,City Centers,Hotels
21,Urban,Student,Single,M40,No,Holiday,1,4,8,780,City Centers,Hotels
24,Urban,Employed full-time,Married,B40,No,Holiday,4,4,6,600,Nature,Hotels
21,Urban,Student,Single,B40,Yes,Holiday,2,3,5,250,Countryside,Airbnb
21,Urban,Student,Single,B40,No,Holiday,1,3,4,300,Countryside,Airbnb
25,Urban,Employed full-time,Single,M40,No,Holiday,1,3,6,500,City Centers,Hotels
21,Urban,Employed part-time,Single,B40,No,Businesses,5,3,8,800,City Centers,Hotels
22,Urban,Student,Single,M40,No,Holiday,1,4,5,900,Countryside,Hotels
21,Urban,Student,Single,M40,Yes,I don't travel,1,3,5,300,City Centers,Airbnb
22,Urban,Student,Single,B40,No,I don't travel,1,3,10,500,Nature,Airbnb
33,Urban,Employed full-time,Married,B40,No,Holiday,3,3,4,1000,City Centers,Hotels
21,Urban,Student,Single,T20,No,Holiday,3,3,6,1500,Nature,Hotels
66,Urban,Retired,Married,B40,Yes,Holiday,2,8,6,900,Countryside,Airbnb
22,Urban,Student,Single,M40,Yes,Holiday,3,3,6,500,Countryside,Hotels
21,Urban,Student,Single,B40,No,Holiday,2,3,4,700,Nature,Hotels
22,Rural,Self-employed,Single,M40,Yes,Holiday,2,2,4,300,Countryside,Airbnb
21,Urban,Student,Single,B40,Yes,Holiday,3,6,4,300,Nature,Airbnb
20,Rural,Student,Single,T20,No,Holiday,3,3,5,400,Beachfront,Hotels
30,Urban,Employed full-time,Married,T20,No,Holiday,5,3,7,250,Beachfront,Hotels
31,Rural,Employed full-time,Single,B40,No,I don't travel,1,2,4,350,City Centers,Hotels
19,Rural,Student,Single,B40,No,I don't travel,1,4,6,500,Nature,Airbnb
21,Urban,Student,Single,M40,Yes,Both,2,3,4,750,City Centers,Hotels
24,Urban,Student,Single,M40,Yes,Businesses,4,3,5,500,City Centers,Hotels
25,Rural,Employed full-time,Single,B40,Yes,Holiday,4,3,5,650,City Centers,Airbnb
35,Urban,Employed full-time,Married,M40,No,Holiday,1,7,2,800,City Centers,Hotels
21,Urban,Student,Single,M40,No,Holiday,2,3,5,200,Nature,Airbnb
28,Urban,Student,Single,B40,Yes,Holiday,1,4,2,400,City Centers,Airbnb
35,Rural,Employed full-time,Married,M40,Yes,Both,3,7,4,500,Nature,Airbnb
25,Urban,Student,Single,B40,No,I don't travel,2,3,5,450,City Centers,Airbnb
25,Urban,Employed full-time,Single,B40,No,Holiday,1,4,6,600,Nature,Hotels
22,Urban,Student,Single,B40,Yes,Holiday,1,3,7,400,Nature,Airbnb
29,Urban,Employed full-time,Single,B40,No,Holiday,1,4,8,1000,Beachfront,Hotels
35,Urban,Employed full-time,Married,M40,No,Holiday,5,5,5,700,Countryside,Hotels
22,Urban,Student,Single,B40,Yes,Both,3,5,3,500,Nature,Airbnb
20,Rural,Student,Single,T20,Yes,I don't travel,0,1,1,350,City Centers,Airbnb
20,Urban,Student,Single,M40,No,Holiday,2,3,6,500,City Centers,Hotels
23,Urban,Employed full-time,Single,B40,No,Businesses,1,3,1,800,Beachfront,Hotels
20,Rural,Student,Single,M40,No,Holiday,4,2,4,750,City Centers,Hotels
19,Urban,Student,Single,B40,Yes,Businesses,4,3,4,999,City Centers,Hotels
26,Urban,Employed full-time,Married,M40,No,Holiday,4,3,2,1050,Countryside,Hotels
21,Rural,Student,Single,B40,Yes,Businesses,2,3,4,800,City Centers,Hotels
40,Rural,Employed full-time,Single,B40,No,Holiday,1,3,3,500,City Centers,Hotels
22,Rural,Student,Single,T20,No,Holiday,2,3,6,400,Nature,Hotels
32,Urban,Employed full-time,Single,B40,No,I don't travel,3,3,8,900,Countryside,Hotels
29,Urban,Employed full-time,Married,T20,No,Holiday,2,4,1,600,City Centers,Hotels
23,Rural,Employed full-time,Single,B40,No,Holiday,1,3,8,300,Nature,Airbnb
27,Urban,Employed full-time,Single,M40,No,Holiday,1,3,4,500,City Centers,Hotels
27,Rural,Unemployed,Single,B40,Yes,Both,5,5,6,50,Countryside,Airbnb
24,Urban,Student,Single,M40,No,I don't travel,0,3,7,500,Beachfront,Hotels
32,Urban,Employed full-time,Single,B40,No,Holiday,1,3,5,800,Beachfront,Hotels
34,Urban,Employed full-time,Married,M40,No,Holiday,2,3,4,900,City Centers,Hotels
19,Urban,Employed full-time,Single,M40,No,Holiday,3,4,7,500,City Centers,Hotels
21,Urban,Student,Single,B40,Yes,Holiday,1,3,6,250,Nature,Airbnb
20,Urban,Student,Single,B40,Yes,Holiday,5,3,3,450,Countryside,Airbnb
25,Rural,Employed full-time,Single,M40,Yes,Holiday,5,3,7,1000,Nature,Hotels
25,Urban,Student,Single,B40,Yes,Holiday,1,3,8,300,Nature,Airbnb
34,Rural,Employed full-time,Married,M40,No,Holiday,7,3,5,400,Beachfront,Hotels
44,Urban,Employed full-time,Married,M40,Yes,Holiday,3,3,3,500,City Centers,Hotels
21,Urban,Student,Single,B40,Yes,Holiday,5,1,5,450,Nature,Airbnb
25,Rural,Employed full-time,Single,M40,No,I don't travel,2,2,1,800,Beachfront,Hotels
28,Urban,Student,Single,B40,No,Holiday,1,3,5,1000,Beachfront,Hotels
23,Urban,Employed full-time,Single,M40,No,Holiday,2,3,9,600,Nature,Hotels
21,Urban,Student,Single,B40,No,Holiday,1,1,5,400,Countryside,Airbnb
21,Urban,Student,Single,T20,Yes,Holiday,5,3,5,250,Nature,Airbnb
19,Urban,Student,Single,B40,Yes,Both,30,3,4,150,City Centers,Airbnb
20,Rural,Student,Single,B40,No,Holiday,2,8,5,500,Nature,Hotels
26,Urban,Unemployed,Single,B40,No,Both,2,3,4,600,Nature,Hotels
23,Urban,Employed full-time,Single,M40,No,Holiday,3,4,3,500,Beachfront,Hotels
21,Urban,Student,Single,B40,No,Holiday,2,3,8,200,Nature,Airbnb
